,symbol,avgvol,avgvwap,avgdelvol,avgpctdel
84,ARCHIES,455661.94623655913,35.24833333333333,177853.12903225806,0.5076634408602151
85,ARIES,151790.68279569893,173.3204838709677,43745.8870967742,0.5611655913978499
86,ARIHANT,787.9791666666666,36.267291666666665,607.0625,0.8388270833333333
87,ARIHANTSUP,207425.40408163265,141.0647346938775,66406.88571428572,0.4063506122448981
88,ARMANFIN,11601.805555555555,280.77840277777784,8214.083333333334,0.7580812500000005
89,AROGRANITE,84538.63673469388,65.06204081632653,35256.90204081633,0.583335510204082
90,ARROWGREEN,40177.60408163265,394.1569795918366,19018.163265306124,0.6223175510204083
91,ARROWTEX,35630.3306122449,39.74828571428569,16976.955102040818,0.6412946938775508
92,ARSHIYA,202607.0612244898,78.0130204081633,135397.37142857144,0.6112122448979592
93,ARVIND,1762423.881632653,410.2677551020409,412855.2326530612,0.23426693877551039
94,ARVSMART,77701.68163265307,173.55428571428584,34324.55918367347,0.5844391836734696
95,ASAHIINDIA,58045.795918367345,358.55244897959176,30202.14693877551,0.6158334693877549
96,ASAHISONG,14916.085714285715,324.3222857142857,9279.269387755103,0.7118844897959185
97,ASAL,46136.62040816327,79.24326530612245,16814.889795918367,0.5879351020408168
98,ASHAPURMIN,473570.84897959186,68.92955102040814,216445.0285714286,0.538717959183674
99,ASHIANA,187272.84897959183,164.00853061224495,108065.45714285714,0.6425681632653063
100,ASHIMASYN,341646.0244897959,27.825918367346944,189839.55510204082,0.6088081632653058
101,ASHOKA,302760.3469387755,223.8750204081633,179219.49387755102,0.5556338775510202
102,ASHOKLEY,16208318.563265307,130.30628571428574,5233504.318367347,0.339398367346939
103,ASIANHOTNR,13773.931578947368,194.4441578947369,6839.5,0.6828131578947373
104,ASIANPAINT,825345.6489795918,1206.59175510204,443954.0571428572,0.536771836734694
105,ASIANTILES,96176.57959183674,458.04134693877563,52109.68571428571,0.6005579591836732
106,ASPINWALL,8285.08230452675,358.2865432098765,5744.230452674897,0.7793831275720169
107,ASTEC,36254.38775510204,602.4284897959182,16176.85306122449,0.5349918367346939
108,ASTERDM,267479.9137931034,171.48370689655178,133514.7844827586,0.612879310344827
109,ASTRAL,63726.767346938774,865.8876734693882,43332.72653061224,0.6554265306122454
110,ASTRAMICRO,461433.4775510204,107.32673469387748,236992.31020408164,0.5175608163265306
111,ASTRAZEN,27409.52244897959,1133.7797551020417,11463.457142857143,0.6251326530612241
112,ASTRON,343945.63448275864,120.11213793103452,152403.49655172415,0.5216165517241377
113,ATFL,36684.58775510204,633.3026122448979,17352.032653061226,0.6233040816326533
114,ATLANTA,399076.4612244898,82.83987755102042,147897.39591836734,0.4730089795918368
115,ATUL,17251.55918367347,2630.5647346938767,11848.142857142857,0.6551889795918369
116,ATULAUTO,37265.436734693874,434.8777142857142,22809.775510204083,0.6307102040816329
117,AUBANK,355698.54285714286,640.3976734693883,215436.36326530614,0.545801632653061
118,AURIONPRO,83127.31836734693,195.39648979591846,39603.55918367347,0.5902477551020412
119,AUROPHARMA,2356289.9591836734,650.8372653061223,721107.3224489796,0.302918367346939
120,AUSOMENT,51501.09795918367,66.48110204081634,19192.432653061223,0.5553714285714286
121,AUTOAXLES,31921.057142857142,1295.971836734694,14181.457142857143,0.536525714285714
122,AUTOIND,46758.551020408166,77.08238095238093,25582.149659863946,0.5917870748299323
123,AUTOLITIND,54687.01869158878,68.66116822429905,27587.182242990653,0.6314598130841123
124,AVADHSUGAR,48176.54696132597,564.3515469613261,22895.580110497238,0.5465977900552484
125,AVANTIFEED,319622.50204081635,2058.5273469387753,88504.97959183673,0.42439551020408195
126,AVTNPL,231763.45306122449,40.89057142857142,106854.98367346938,0.6151546938775508
127,AXISBANK,8116491.92244898,533.121183673469,4037911.212244898,0.4900918367346937
128,AXISCADES,191893.49387755102,149.23514285714268,73834.08979591836,0.4547257142857145
129,AYMSYNTEX,39225.71836734694,60.50212244897957,28395.755102040817,0.7457359183673465
130,BAFNAPHARM,25351.808823529413,25.54549019607844,17326.053921568626,0.715524019607843
131,BAJAJ-AUTO,402279.6857142857,3016.3465714285726,179946.2693877551,0.48584653061224453
132,BAJAJCORP,81211.44081632653,450.0622448979589,53393.2,0.6545477551020411
133,BAJAJELEC,578796.706122449,506.80114285714285,140569.91428571427,0.30329346938775503
134,BAJAJFINSV,161640.31836734695,5474.076857142853,66891.72653061224,0.42041142857142827
135,BAJAJHLDNG,26220.020408163266,2825.3636326530614,19059.167346938775,0.6674616326530617
136,BAJFINANCE,1158555.3102040817,1933.1288163265306,468270.35918367346,0.42334163265306124
137,BALAJITELE,198248.23265306122,141.38032653061222,98931.2081632653,0.5544310204081627
138,BALAMINES,80710.08163265306,568.4564081632655,30007.726530612246,0.5076110204081633
139,BALKRISHNA,65759.1081081081,76.226081081081,27358.527027027027,0.6578045045045052
140,BALKRISIND,388744.9591836735,1400.9892244897965,155889.02040816325,0.3997130612244896
141,BALLARPUR,1667760.5142857144,13.08869387755101,878497.2326530613,0.53972
142,BALMLAWRIE,117432.6530612245,234.27971428571433,59386.28571428572,0.5949579591836732
143,BALPHARMA,67460.98367346938,90.7049387755102,25776.555102040817,0.5306816326530615
144,BALRAMCHIN,4151330.673469388,114.46522448979593,1015505.2448979592,0.2871016326530613
145,BANARBEADS,17116.81081081081,60.31436936936938,6216.977477477478,0.6627954954954954
146,BANARISUG,832.8367346938776,1899.6820000000005,628.5061224489796,0.7701457142857142
147,BANCOINDIA,84809.77959183673,224.92473469387755,45167.32653061225,0.5747616326530617
148,BANDHANBNK,2408838.8229166665,543.3909375000001,1124923.875,0.5242406250000001
149,BANG,16519.657142857144,39.23236734693876,10172.89387755102,0.6822428571428569
150,BANKBARODA,14743369.273469388,147.3031836734692,3938874.4244897957,0.25525469387755095
151,BANKINDIA,7004634.028571429,132.82420408163276,914486.6285714286,0.135264081632653
152,BANSWRAS,14605.204081632653,115.5188571428571,9190.171428571428,0.6810106122448975
153,BASF,26274.51020408163,1922.4617959183681,12537.248979591837,0.5744538775510202
154,BASML,4665.212244897959,277.29922448979573,3312.673469387755,0.7566751020408159
155,BATAINDIA,819639.212244898,764.7442040816334,213863.22040816327,0.27395836734693907
156,BAYERCROP,11704.706122448979,4249.350734693877,8111.820408163266,0.659642448979592
157,BBL,25604.236734693877,1301.2986530612254,11417.628571428571,0.52369306122449
158,BBTC,280003.1142857143,1449.6628979591835,66772.4857142857,0.27185836734693897
159,BDL,120295.0,384.138367346939,42130.255102040814,0.5902285714285714
160,BEARDSELL,7733.138775510204,55.515020408163245,5449.820408163266,0.7293857142857145
161,BEDMUTHA,45667.57065217391,25.125489130434804,23627.755434782608,0.7185586956521738
162,BEL,5098991.9469387755,153.02857142857152,2435550.518367347,0.49359877551020404
163,BEML,899191.2326530613,1320.1355102040811,111175.82040816327,0.14396734693877553
164,BEPL,1451918.2775510205,152.3259183673469,579499.3183673469,0.46241306122448983
165,BERGEPAINT,773066.5224489796,267.2867755102041,303547.7102040816,0.3872277551020409
166,BFINVEST,336688.412244898,291.3712653061224,60279.183673469386,0.24845918367346945
167,BFUTILITIE,778313.3918367347,412.9424081632652,150860.6612244898,0.21628571428571414
168,BGRENERGY,191315.0,119.36289795918371,60188.35510204082,0.40895346938775523
169,BHAGERIA,44717.44489795918,293.98395918367356,20402.371428571427,0.5345195918367347
170,BHAGYAPROP,30865.688524590165,21.569234972677602,16482.256830601094,0.8308622950819672
171,BHARATFIN,936275.3714285714,1059.2259183673468,380511.99591836735,0.44883959183673455
172,BHARATFORG,1093611.6857142858,747.8440408163269,479787.1836734694,0.44630122448979614
173,BHARATGEAR,66786.62857142858,175.14330612244893,25599.579591836733,0.49564612244897976
174,BHARATRAS,2205.873469387755,4590.794775510202,1158.0530612244897,0.6178502040816324
175,BHARATWIRE,161220.2081632653,111.25693877551022,93494.78775510204,0.6267922448979593
176,BHARTIARTL,6729025.906122449,426.93248979591834,3255480.0081632654,0.47436489795918346
177,BHEL,8346444.097959184,90.86751020408168,2705561.024489796,0.3250885714285714
178,BHUSANSTL,2868079.2734693876,50.45759183673472,1171985.5224489796,0.4858236734693879
179,BIGBLOC,93570.8612244898,124.81783673469388,24010.657142857144,0.2727710204081631
180,BIL,16932.18775510204,482.1155918367349,5659.0775510204085,0.3493122448979591
181,BINANIIND,170576.33783783784,90.85013513513513,71108.7927927928,0.561472972972973
182,BINDALAGRO,133915.52244897958,28.453142857142883,73588.09387755101,0.6445889795918374
183,BIOCON,2678973.4285714286,531.2508163265305,544857.612244898,0.22686244897959174
184,BIRLACABLE,93368.14035087719,64.4782456140351,47754.833333333336,0.6948122807017543
185,BIRLACORPN,79920.91836734694,914.4516734693873,49255.93469387755,0.594582857142857
186,BIRLAMONEY,420214.1445086705,80.3312138728324,155293.62427745663,0.5155156069364162
187,BKMINDST,58044.433333333334,30.347722222222252,50555.78888888889,0.7576144444444447
188,BLISSGVS,259780.81632653062,186.6231428571428,108991.59183673469,0.42473183673469406
189,BLKASHYAP,391692.3632653061,47.558244897959185,197251.38775510204,0.5644151020408161
190,BLS,337200.9306122449,202.20138775510208,175375.8,0.5406012244897958
191,BLUEDART,10759.338775510205,4037.4415510204035,8560.522448979591,0.7128493877551025
192,BLUESTARCO,73879.88163265307,745.5779591836733,48293.63265306123,0.5728836734693878
193,BODALCHEM,411286.4,149.17248979591838,196267.9632653061,0.516528979591837
194,BOROSIL,109174.25,898.3426785714285,31305.76785714286,0.4983625
195,BOSCHLTD,16235.787755102041,19519.580285714277,7872.791836734694,0.47070326530612244
196,BPCL,4496423.481632653,454.772367346939,2021031.812244898,0.450618775510204
197,BPL,723926.5877551021,75.97404081632645,175996.66530612245,0.3206995918367346
198,BRIGADE,99694.2081632653,262.93318367346944,66750.26122448979,0.6273738775510201
199,BRITANNIA,142229.06530612244,5104.12926530612,85781.29387755103,0.5811506122448977
200,BRNL,286184.5796460177,180.3422123893806,135685.203539823,0.6534588495575215
201,BROOKS,110686.24489795919,99.00477551020404,39319.53469387755,0.4877673469387756
202,BSE,153419.90612244897,883.9058367346937,102233.08163265306,0.6701897959183675
203,BSL,46762.195918367346,68.14869387755105,20929.21632653061,0.6610836734693876
204,BYKE,71864.49795918367,169.47616326530613,38772.92244897959,0.5384771428571427
205,CADILAHC,1155523.306122449,421.68322448979615,454492.84897959186,0.3976457142857142
206,CAMLINFINE,1034413.6367346939,100.10110204081636,482815.5959183673,0.49486857142857127
207,CANBK,5466874.473469388,308.9392244897957,591862.1795918368,0.1346338775510204
208,CANDC,95733.07065217392,49.14141304347825,64731.163043478264,0.7424532608695646
209,CANFINHOME,929961.0285714286,779.4542857142856,260678.26530612246,0.2939542857142858
210,CANTABIL,92233.53757225434,99.9664739884393,35212.19653179191,0.6012994219653176
211,CAPACITE,529706.0180995475,336.1727149321266,205370.8371040724,0.49157873303167454
212,CAPF,722970.0530612245,662.6153469387754,250355.85306122448,0.35899346938775495
213,CAPLIPOINT,61651.76326530612,591.2342040816332,29810.04081632653,0.5517200000000001
214,CAPTRUST,6582.50612244898,457.36346938775495,4602.7387755102045,0.6638800000000001
215,CARBORUNIV,103567.54693877551,356.10395918367374,67628.75918367346,0.6599089795918371
216,CAREERP,169184.16734693878,122.05800000000006,77162.76326530612,0.600576734693878
217,CARERATING,52850.2612244898,1351.1145714285715,42200.77142857143,0.7336779591836737
218,CASTROLIND,1527847.044897959,255.53097959183677,824322.1265306122,0.5184991836734695
219,CCL,97927.4693877551,295.0756734693877,70267.38367346939,0.6928579591836732
220,CDSL,784165.8367346938,320.2642448979592,316588.5836734694,0.46384938775510176
221,CEATLTD,578540.8204081632,1608.810040816326,73453.30204081633,0.13251387755102043
222,CEBBCO,99025.0663507109,13.957393364928913,62352.28909952607,0.744837914691943
223,CELEBRITY,127520.95721925133,15.583368983957213,71483.5614973262,0.7103893048128338
224,CELESTIAL,123903.64897959183,17.550367346938767,71428.1387755102,0.6664346938775509
225,CENTENKA,55556.74693877551,323.1992244897961,32887.832653061225,0.6379853061224496
226,CENTRALBK,1601658.3836734693,75.08232653061228,609035.0,0.4234897959183671
227,CENTRUM,226874.64130434784,56.325543478260876,142702.66304347827,0.626761956521739
228,CENTUM,6954.355102040817,572.7621632653064,4825.587755102041,0.689155102040816
229,CENTURYPLY,291730.6367346939,293.51220408163255,156429.89795918367,0.5650224489795919
230,CENTURYTEX,655849.1673469387,1187.1464081632653,141025.91020408162,0.21538612244897984
231,CERA,10141.073469387755,3208.336244897962,6947.987755102041,0.6572028571428566
232,CEREBRAINT,1322270.7043010753,50.15747311827958,536001.8870967742,0.5092112903225807
233,CESC,499398.4530612245,1006.8549795918368,184177.6775510204,0.36978285714285725
234,CGCL,131757.17551020408,100.73146938775511,74013.1836734694,0.63736
235,CGPOWER,4157636.3020408163,78.29314285714285,1141075.2,0.3196906122448977
236,CHAMBLFERT,687944.2530612245,155.91179591836743,325630.90612244897,0.49073224489795914
237,CHENNPETRO,729589.9142857143,371.920081632653,194148.24081632652,0.2867428571428573
238,CHOLAFIN,277024.1918367347,1379.7231428571433,144652.71836734694,0.4907951020408159
239,CIGNITITEC,45116.3203125,298.339140625,31608.234375,0.709753125
240,CIMMCO,79998.21674876848,85.25073891625617,33008.73399014778,0.5910113300492608
241,CINELINE,102580.26122448979,81.35673469387757,53839.824489795916,0.6065485714285713
242,CIPLA,1916900.1918367348,592.2555102040816,712634.0081632653,0.38506734693877537
243,CLEDUCATE,9690.004081632653,253.421224489796,7341.783673469387,0.7318326530612239
244,CLNINDIA,18519.62448979592,541.5464897959182,12098.828571428572,0.6684383673469387
245,CMICABLES,73885.97142857143,241.46771428571427,37363.10612244898,0.5719983673469385
246,CNOVAPETRO,24180.726530612246,35.62853061224491,15093.689795918368,0.6837722448979592
247,COALINDIA,4161289.8530612243,277.4523673469387,2135523.836734694,0.4903375510204077
248,COCHINSHIP,329226.35102040815,518.8017551020405,152647.3306122449,0.5730906122448981
249,COFFEEDAY,301626.0816326531,280.1300816326532,148912.9551020408,0.5786224489795919
250,COLPAL,329955.3469387755,1109.3315102040817,186504.76734693878,0.5681893877551023
251,COMPINFO,235671.86530612246,38.38220408163266,129938.1469387755,0.6232779591836732
252,COMPUSOFT,187280.16666666666,13.18472972972973,97253.92342342342,0.7254364864864871
253,CONCOR,405956.84081632656,1236.8715918367345,227001.96734693876,0.5358302040816326
254,CONSOFINVT,12399.532786885246,64.62922131147542,9030.532786885246,0.7699229508196721
255,CONTROLPR,20078.485714285714,431.2209795918368,12530.951020408163,0.6915497959183671
256,CORALFINAC,148938.2775510204,48.444653061224514,63839.11836734694,0.5781555102040818
257,CORDSCABLE,53168.784946236556,93.61919354838709,25553.779569892475,0.6349736559139787
258,COROMANDEL,211796.19183673468,483.4130612244898,141016.4163265306,0.6301089795918368
259,CORPBANK,371069.1224489796,35.36453061224489,181697.3224489796,0.5293057142857143
260,COSMOFILMS,35949.51836734694,311.79661224489826,22540.844897959185,0.6232779591836732
261,COX&KINGS,240071.54693877551,243.20412244897972,147974.4,0.5840955102040818
262,CREST,27143.628571428573,202.1088571428572,16394.644897959184,0.6476702040816329
263,CRISIL,20816.50612244898,1849.4698775510196,16880.097959183673,0.7766710204081632
264,CROMPTON,856287.7306122449,236.92424489795914,612228.6,0.6697918367346941
265,CTE,9593.673469387755,68.91032653061224,7917.2326530612245,0.8802057142857146
266,CUB,666783.5877551021,173.0777142857143,499050.71428571426,0.6980469387755105
267,CUMMINSIND,338311.36734693876,807.7176326530616,176527.31020408164,0.5078024489795918
268,CUPID,67425.92244897959,273.86497959183674,30862.88163265306,0.5826412244897963
269,CYBERTECH,50832.42040816326,64.19183673469385,26906.008163265305,0.6435469387755101
270,CYIENT,443400.61632653064,633.6347755102042,274304.2612244898,0.5774012244897961
271,DAAWAT,1379195.0653061224,77.43432653061227,589220.987755102,0.47478734693877567
272,DABUR,1573179.2897959184,350.1231836734694,858240.2571428572,0.5326824489795916
273,DALMIABHA,121202.25306122449,2802.173836734696,66250.48163265306,0.501432244897959
274,DALMIASUG,137005.92653061225,107.98824489795926,71499.28571428571,0.5291624489795919
275,DAMODARIND,25965.338775510205,120.55910204081643,12370.975510204082,0.6858465306122451
276,DATAMATICS,222346.7306122449,116.06355102040818,84396.38775510204,0.47094938775510187
277,DBCORP,119363.66530612245,323.2891020408164,88260.84489795918,0.7035448979591835
278,DBL,451603.47346938774,884.1293061224493,185598.0,0.47644734693877533
279,DBREALTY,905915.3795918367,46.96048979591833,391545.88979591837,0.4786571428571429
280,DCAL,181235.69953051643,312.4096244131453,127645.31455399061,0.6779441314553989
281,DCBBANK,1679474.812244898,180.0430204081633,520176.6693877551,0.3244273469387755
282,DCM,36686.216326530615,103.73975510204083,19857.37551020408,0.5923787755102042
283,DCMSHRIRAM,257793.56326530612,446.46428571428595,104430.09387755101,0.47200734693877544
284,DCW,1526712.4516129033,33.32473118279571,621886.5698924732,0.5103516129032257
285,DECCANCE,7786.9795918367345,560.4515918367347,6099.522448979592,0.7416591836734686
286,DEEPAKFERT,220298.293877551,357.29236734693876,93108.38367346939,0.46150163265306116
287,DEEPAKNTR,319017.4448979592,234.48759183673457,159817.9224489796,0.5631040816326529
288,DEEPIND,114008.85714285714,176.4353469387756,53878.50612244898,0.5382902040816328
289,DELTACORP,3391575.7591836737,263.532775510204,1013889.5224489796,0.3083469387755103
290,DELTAMAGNT,1880.4496644295302,50.408187919463074,1222.4429530201342,0.7508704697986576
291,DEN,615430.869387755,93.07759183673464,219933.11428571428,0.45627469387755104
292,DENABANK,1987613.7918367346,22.47036734693878,897965.5224489796,0.4361355102040815
293,DENORA,48542.97959183674,298.1821938775511,12919.357142857143,0.5932214285714286
294,DFMFOODS,3888.6897959183675,1552.3718775510204,2649.0204081632655,0.6810657142857147
295,DHAMPURSUG,503197.7428571429,185.30216326530618,179640.693877551,0.3809057142857144
296,DHANBANK,521544.3795918367,26.726244897959152,301889.55102040817,0.5929848979591839
297,DHANUKA,21553.20408163265,638.8997959183669,14151.338775510205,0.6132677551020408
298,DHARSUGAR,152766.60115606937,25.77456647398845,68737.38150289017,0.5816751445086705
299,DHFL,4959671.326530612,585.5664897959184,1195468.318367347,0.25384571428571434
300,DHUNINV,5139.151020408163,370.1058775510205,2505.2775510204083,0.6417722448979595
301,DIAMONDYD,80220.7663551402,1232.2800934579445,25508.607476635512,0.6696345794392523
302,DICIND,5772.6122448979595,487.43893877551034,3172.3714285714286,0.7179261224489796
303,DISHTV,5477732.41632653,74.72138775510203,2132156.5714285714,0.3627053061224489
304,DIVISLAB,1356536.8408163264,1031.2020408163266,356537.2326530612,0.3395322448979594
